distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532006,Narnoor,1906011,DR DEPO SUNGAPUR  Sungapoor,78.790757,19.527979,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906012,Pawar Santhosh  Chorgaon,78.780182,19.545217,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906016,Rathod Prahlad  Khairdatwa,78.824319,19.525403,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906022,DR DEPO MALANGI  Malangi,78.996790,19.483350,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532006,Narnoor,1906023,Jugnak Jugu Devi Mahalaxmi SHG  Mankapoor,78.843065,19.487482,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907001,DR Depo Indervelly  INDERVELLY,78.677059,19.488404,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907002,Rathod Thavraya  DEVAPUR FP SHOP INDERVELLY (I/C),78.670451,19.494774,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907003,Rathod Savithra Bai  MARKAGUDA H/O INDERVELLY,78.673247,19.494868,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907004,DR Depo Wadagaon  D.R.DEPOT. WADGOAN,78.663784,19.432680,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907005,Athram Paikubai SHG  DHODANDA,78.743994,19.516987,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907006,Adey Dhanraj  Muthnur,78.627558,19.513371,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907007,Adey Dhanraj  GINNERA,78.627571,19.513356,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907008,DR Depo Shankarguda  D.R.DEPOT. SHANKARGUDA,78.616728,19.515092,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907009,DR Depo Keslapur  KESLAPUR,78.627657,19.484391,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907010,DR Depo Dasnapur  D.R.DEPOT. DASNAPUR,78.612351,19.447057,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907014,Jadhav Kubber Singh  DHANORA---B,78.585529,19.514111,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532007,Indravelly,1907015,Rathod Thavraya  DEVAPUR,78.603105,19.527139,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
